"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ITC","EQ","08-Nov-2024","477.90","477.90","480.70","474.60","478.80","478.05","477.78","60,90,462","2,90,99,20,473.35","1,05,996","34,54,982","56.73"
"ITC","EQ","11-Nov-2024","478.05","478.05","481.50","474.10","477.30","476.95","478.38","54,88,948","2,62,58,14,462.70","1,23,605","33,00,121","60.12"
"ITC","EQ","12-Nov-2024","476.95","477.60","477.95","471.15","471.90","472.85","474.91","50,41,916","2,39,44,32,824.50","1,29,476","32,95,131","65.35"
"ITC","EQ","13-Nov-2024","472.85","470.05","474.70","468.25","472.00","472.20","471.96","1,11,20,381","5,24,84,10,369.00","1,88,101","75,21,950","67.64"
"ITC","EQ","14-Nov-2024","472.20","471.20","472.95","462.25","467.00","465.95","465.91","1,16,39,562","5,42,29,31,558.70","2,30,824","60,82,557","52.26"
"ITC","EQ","18-Nov-2024","465.95","466.00","467.80","462.00","467.40","466.55","464.79","81,35,260","3,78,11,91,097.20","1,83,896","46,99,705","57.77"
"ITC","EQ","19-Nov-2024","466.55","468.00","473.75","466.25","466.60","467.35","471.03","68,57,374","3,23,00,38,399.65","1,11,105","44,78,830","65.31"
"ITC","EQ","21-Nov-2024","467.35","461.00","464.05","455.40","457.00","457.15","458.53","1,95,59,847","8,96,87,97,499.25","2,36,495","1,27,26,681","65.07"
"ITC","EQ","22-Nov-2024","457.15","456.20","476.50","455.50","474.00","474.65","465.47","1,94,64,568","9,06,02,24,659.45","1,78,132","1,11,68,893","57.38"
"ITC","EQ","25-Nov-2024","474.65","479.00","482.20","472.40","478.15","476.80","476.97","1,38,91,991","6,62,60,51,098.65","1,37,597","81,94,335","58.99"
"ITC","EQ","26-Nov-2024","476.80","480.00","482.65","474.10","477.00","477.00","476.76","65,39,846","3,11,79,27,466.80","1,24,209","33,60,474","51.38"
"ITC","EQ","27-Nov-2024","477.00","477.50","480.10","473.00","476.95","476.95","475.67","70,67,013","3,36,15,55,101.90","92,526","37,97,294","53.73"
"ITC","EQ","28-Nov-2024","476.95","477.00","483.80","470.55","475.55","474.90","476.02","1,44,12,539","6,86,05,90,338.25","1,97,328","66,09,296","45.86"
"ITC","EQ","29-Nov-2024","474.90","473.20","478.90","472.60","477.00","476.75","476.39","83,46,687","3,97,63,06,074.10","1,26,718","47,78,661","57.25"
"ITC","EQ","02-Dec-2024","476.75","476.00","479.30","473.40","477.40","477.20","476.84","54,78,598","2,61,23,98,108.20","1,05,775","32,74,668","59.77"
"ITC","EQ","03-Dec-2024","477.20","466.00","473.40","462.75","472.55","472.55","469.06","2,22,18,251","10,42,16,81,081.05","2,89,294","1,14,68,158","51.62"
"ITC","EQ","04-Dec-2024","472.55","474.40","478.20","466.40","467.20","467.10","470.88","1,34,39,484","6,32,83,46,244.15","1,84,751","83,99,289","62.50"
"ITC","EQ","05-Dec-2024","467.10","467.55","472.75","462.50","467.70","467.50","468.00","2,64,15,053","12,36,22,22,644.55","2,80,989","1,47,12,940","55.70"
"ITC","EQ","06-Dec-2024","467.50","470.00","474.95","467.70","471.95","471.15","472.38","75,51,407","3,56,71,34,560.35","1,18,458","32,79,177","43.42"
"ITC","EQ","09-Dec-2024","471.15","471.50","472.00","462.95","465.20","464.95","467.02","1,17,03,384","5,46,56,95,132.70","1,60,632","73,32,585","62.65"
"ITC","EQ","10-Dec-2024","464.95","465.35","466.45","462.60","465.35","465.45","464.64","88,23,805","4,09,99,16,466.30","1,37,180","58,03,821","65.77"
"ITC","EQ","11-Dec-2024","465.45","467.20","468.20","464.70","465.25","465.25","466.13","67,45,816","3,14,44,31,682.05","1,08,407","36,33,100","53.86"
"ITC","EQ","12-Dec-2024","465.25","465.50","467.90","459.15","460.85","460.60","462.32","1,28,84,401","5,95,67,25,495.60","1,65,742","69,64,126","54.05"
"ITC","EQ","13-Dec-2024","460.60","460.00","474.40","451.65","471.00","470.00","464.46","3,17,53,858","14,74,84,33,018.55","2,49,426","1,75,12,410","55.15"
"ITC","EQ","16-Dec-2024","470.00","470.25","474.40","468.00","470.00","470.10","470.12","90,07,264","4,23,44,93,701.85","1,53,567","47,81,612","53.09"
"ITC","EQ","17-Dec-2024","470.10","470.00","475.80","463.05","470.70","469.55","470.32","1,98,44,152","9,33,30,64,294.30","2,35,005","86,72,882","43.70"
"ITC","EQ","18-Dec-2024","469.55","472.70","473.80","466.90","471.25","470.50","470.47","1,23,65,167","5,81,74,85,040.30","1,71,373","63,17,433","51.09"
"ITC","EQ","19-Dec-2024","470.50","469.00","474.35","465.30","466.00","466.55","468.63","1,45,99,270","6,84,16,13,826.05","2,08,360","84,70,164","58.02"
"ITC","EQ","20-Dec-2024","466.55","466.50","467.45","459.30","465.65","464.65","463.94","1,94,81,288","9,03,81,76,739.25","2,41,995","1,02,33,036","52.53"
"ITC","EQ","23-Dec-2024","464.65","471.20","477.70","467.60","474.50","474.25","473.08","1,88,37,469","8,91,16,59,177.30","2,40,219","1,17,23,502","62.24"
"ITC","EQ","24-Dec-2024","474.25","474.90","480.25","472.65","478.25","478.45","478.09","1,15,64,497","5,52,88,95,414.85","1,72,646","75,49,163","65.28"
"ITC","EQ","26-Dec-2024","478.45","480.55","481.85","476.00","477.00","476.95","478.43","88,48,065","4,23,31,60,326.90","1,48,089","50,18,964","56.72"
"ITC","EQ","27-Dec-2024","476.95","479.75","481.90","476.00","479.70","478.60","479.17","1,62,79,450","7,80,06,52,449.55","1,66,926","1,00,11,016","61.49"
"ITC","EQ","30-Dec-2024","478.60","480.75","481.45","476.00","476.80","477.00","478.45","1,30,74,810","6,25,56,56,373.25","1,58,954","98,83,713","75.59"
"ITC","EQ","31-Dec-2024","477.00","478.45","484.65","474.55","484.45","483.65","479.83","1,32,76,195","6,37,02,64,307.20","1,52,025","91,57,073","68.97"
"ITC","EQ","01-Jan-2025","483.65","486.00","486.85","482.15","484.70","483.95","484.93","1,82,29,128","8,83,99,30,024.40","1,64,587","1,32,09,445","72.46"
"ITC","EQ","02-Jan-2025","483.95","485.35","490.00","482.30","489.50","489.05","486.22","2,61,24,980","12,70,24,91,020.45","2,24,779","2,13,81,955","81.84"
"ITC","EQ","03-Jan-2025","489.05","490.25","491.00","479.85","483.95","481.60","482.67","3,70,72,992","17,89,39,61,935.85","2,27,193","2,53,89,838","68.49"
"ITC","EQ","06-Jan-2025","481.60","455.60","461.75","441.25","445.35","442.65","450.15","2,20,09,958","9,90,77,71,203.05","2,86,532","1,32,11,468","60.02"
"ITC","EQ","07-Jan-2025","442.65","445.50","447.60","440.15","441.10","441.10","442.97","1,42,94,780","6,33,20,98,307.30","1,80,441","96,00,674","67.16"
"ITC","EQ","08-Jan-2025","441.10","443.00","452.05","437.10","449.65","449.55","444.83","1,34,82,926","5,99,76,60,207.25","1,63,390","74,23,150","55.06"
"ITC","EQ","09-Jan-2025","449.55","449.40","460.65","446.05","450.45","450.10","452.64","1,97,32,649","8,93,18,46,709.45","2,14,398","1,20,20,193","60.92"
"ITC","EQ","10-Jan-2025","450.10","449.95","452.00","442.50","443.85","444.90","445.59","91,45,729","4,07,52,02,264.90","1,69,176","58,11,680","63.55"
"ITC","EQ","13-Jan-2025","444.90","435.00","444.00","435.00","439.00","439.05","440.27","1,77,99,607","7,83,66,65,097.95","1,72,276","1,28,49,941","72.19"
"ITC","EQ","14-Jan-2025","439.05","441.00","441.50","435.85","436.95","436.60","438.04","1,80,48,459","7,90,59,15,833.35","2,33,131","1,15,03,124","63.73"
"ITC","EQ","15-Jan-2025","436.60","436.60","441.80","435.35","437.00","437.35","437.99","97,86,805","4,28,65,12,512.75","1,23,376","62,53,307","63.90"
"ITC","EQ","16-Jan-2025","437.35","438.05","439.45","431.10","432.90","432.85","432.62","1,57,74,070","6,82,41,78,083.40","1,97,000","97,76,135","61.98"
"ITC","EQ","17-Jan-2025","432.85","433.00","441.80","432.50","439.65","440.20","438.78","1,12,70,061","4,94,51,04,351.05","1,19,845","73,48,281","65.20"
"ITC","EQ","20-Jan-2025","440.20","439.00","441.20","436.00","437.45","437.70","437.61","87,42,771","3,82,59,27,431.85","1,52,896","62,68,998","71.70"
"ITC","EQ","21-Jan-2025","437.70","438.00","447.00","435.25","437.95","437.55","440.22","1,56,86,500","6,90,54,71,880.05","2,16,692","58,53,952","37.32"
"ITC","EQ","22-Jan-2025","437.55","439.90","441.95","436.55","436.75","437.00","438.79","96,19,648","4,22,09,97,156.10","1,33,708","55,67,099","57.87"
"ITC","EQ","23-Jan-2025","437.00","435.00","441.85","434.10","440.45","440.20","439.59","88,88,248","3,90,71,65,756.85","1,31,321","47,53,594","53.48"
"ITC","EQ","24-Jan-2025","440.20","439.40","445.00","439.05","441.40","441.60","442.53","96,65,384","4,27,72,28,029.70","1,41,694","60,70,113","62.80"
"ITC","EQ","27-Jan-2025","441.60","440.80","445.00","436.55","439.90","440.10","440.42","1,04,80,203","4,61,56,46,516.45","1,55,397","62,86,459","59.98"
"ITC","EQ","28-Jan-2025","440.10","440.00","441.80","434.50","434.65","435.45","437.14","2,08,13,072","9,09,82,82,699.20","1,74,411","1,25,57,031","60.33"
"ITC","EQ","29-Jan-2025","435.45","435.95","437.50","430.10","433.25","433.35","433.19","1,51,58,510","6,56,64,56,115.00","2,70,156","99,59,829","65.70"
"ITC","EQ","30-Jan-2025","433.35","433.00","438.00","431.45","436.00","436.20","434.97","2,24,96,695","9,78,54,77,722.40","2,06,602","1,54,95,715","68.88"
"ITC","EQ","31-Jan-2025","436.20","436.50","448.20","435.10","447.70","447.50","443.74","1,35,46,181","6,01,10,29,618.05","2,92,498","95,67,680","70.63"
"ITC","EQ","01-Feb-2025","447.50","448.00","471.50","439.55","461.55","462.55","459.22","3,03,93,007","13,95,70,38,228.10","3,08,264","1,27,37,210","41.91"
"ITC","EQ","03-Feb-2025","462.55","462.00","465.20","452.30","453.50","454.35","457.77","1,69,91,730","7,77,82,30,238.50","2,78,444","96,27,342","56.66"
"ITC","EQ","04-Feb-2025","454.35","458.00","460.35","448.75","454.30","455.15","454.39","1,89,23,681","8,59,86,91,176.90","2,19,082","1,08,06,930","57.11"
"ITC","EQ","05-Feb-2025","455.15","455.15","455.85","446.50","448.50","448.15","450.02","1,28,36,283","5,77,65,23,794.20","1,55,466","82,54,209","64.30"
"ITC","EQ","06-Feb-2025","448.15","450.00","450.00","438.20","442.75","441.10","441.65","1,74,69,129","7,71,52,80,524.95","1,64,798","1,00,73,598","57.67"
"ITC","EQ","07-Feb-2025","441.10","440.00","445.50","428.40","430.10","430.85","432.24","1,88,75,982","8,15,88,60,785.30","2,12,183","1,11,01,522","58.81"
"ITC","EQ","10-Feb-2025","430.85","427.00","433.30","426.50","427.70","427.20","428.76","1,22,27,140","5,24,24,93,795.80","1,56,939","81,94,600","67.02"
"ITC","EQ","11-Feb-2025","427.20","428.80","430.55","417.50","418.05","418.30","421.57","1,42,88,751","6,02,37,50,310.80","1,87,384","87,33,094","61.12"
"ITC","EQ","12-Feb-2025","418.30","413.15","413.80","407.60","411.20","409.90","410.36","1,38,84,574","5,69,76,74,234.65","2,07,478","76,71,814","55.25"
"ITC","EQ","13-Feb-2025","409.90","409.95","413.95","409.00","410.00","409.70","411.14","1,29,89,029","5,34,03,10,573.90","1,85,598","85,40,154","65.75"
"ITC","EQ","14-Feb-2025","409.70","411.75","416.20","408.40","410.00","410.25","411.41","1,41,24,236","5,81,08,70,731.00","1,99,616","76,52,472","54.18"
"ITC","EQ","17-Feb-2025","410.25","409.80","411.40","406.75","408.60","408.60","408.96","1,19,75,265","4,89,74,17,889.10","2,85,419","78,52,631","65.57"
"ITC","EQ","18-Feb-2025","408.60","408.00","410.85","404.00","404.90","405.25","406.53","1,29,98,403","5,28,42,37,636.80","2,08,753","96,52,056","74.26"
"ITC","EQ","19-Feb-2025","405.25","404.80","408.80","404.50","406.20","406.40","406.89","70,79,032","2,88,04,11,815.90","88,693","43,59,885","61.59"
"ITC","EQ","20-Feb-2025","406.40","399.95","403.90","396.20","402.00","402.05","401.31","1,53,55,585","6,16,23,79,397.35","2,26,856","89,37,485","58.20"
"ITC","EQ","21-Feb-2025","402.05","402.05","403.25","399.20","400.70","400.90","400.75","82,40,986","3,30,25,44,309.75","1,75,217","50,15,724","60.86"
"ITC","EQ","24-Feb-2025","400.90","400.00","403.40","398.75","402.00","401.90","401.96","70,37,625","2,82,88,32,996.75","1,21,155","41,55,102","59.04"
"ITC","EQ","25-Feb-2025","401.90","402.00","407.00","400.50","404.00","404.85","404.11","1,57,60,891","6,36,90,71,142.95","1,38,641","1,09,91,293","69.74"
"ITC","EQ","27-Feb-2025","404.85","404.85","406.50","399.50","401.50","401.60","401.75","1,90,51,003","7,65,36,97,871.25","1,63,369","1,51,11,793","79.32"
"ITC","EQ","28-Feb-2025","401.60","399.00","402.50","392.20","395.90","395.00","394.79","3,19,54,776","12,61,54,32,840.90","2,44,503","2,41,84,137","75.68"
"ITC","BL","28-Feb-2025","481.60","401.60","401.60","401.60","401.60","401.60","401.60","26,55,000","1,06,62,48,000.00","1","-","-"
"ITC","EQ","03-Mar-2025","395.00","395.95","399.00","391.20","397.00","397.45","396.98","1,07,02,826","4,24,87,73,535.65","1,69,634","69,93,828","65.35"
"ITC","EQ","04-Mar-2025","397.45","395.40","397.20","392.85","394.45","394.85","394.38","1,34,04,774","5,28,65,94,132.80","1,54,199","94,85,838","70.76"
"ITC","EQ","05-Mar-2025","394.85","394.50","412.75","394.50","409.20","405.05","399.82","1,56,65,018","6,26,31,65,318.05","1,69,098","1,04,71,994","66.85"
"ITC","EQ","06-Mar-2025","405.05","409.15","409.70","400.55","406.20","405.70","403.66","1,78,69,996","7,21,34,83,492.20","1,70,718","98,56,354","55.16"
"ITC","EQ","07-Mar-2025","405.70","403.55","405.85","401.70","403.75","403.90","403.66","1,11,80,761","4,51,31,90,673.15","1,29,975","83,16,240","74.38"
"ITC","EQ","10-Mar-2025","403.90","401.05","406.85","400.40","404.80","405.00","404.70","97,85,018","3,96,00,32,837.25","1,14,078","68,41,881","69.92"
"ITC","EQ","11-Mar-2025","405.00","401.50","408.40","401.20","406.20","406.20","406.58","1,10,99,475","4,51,27,93,431.70","1,16,862","71,73,525","64.63"
"ITC","EQ","12-Mar-2025","406.20","406.40","413.30","404.00","412.55","412.40","409.75","1,38,44,306","5,67,27,66,834.60","99,237","98,38,272","71.06"
"ITC","EQ","13-Mar-2025","412.40","413.00","414.40","408.20","411.45","412.05","412.40","81,96,569","3,38,02,86,305.70","1,22,083","41,19,199","50.26"
